Answer,1 Guess %,2 Guess %,3 Guess %,4 Guess %,5 Guess %,6 Guess %,Lose %,Win %,Avg # Guesses
plant,0,2,11,30,33,21,4,96,4.48
shawl,0,2,10,24,32,26,6,94,4.46
foray,0,2,13,33,33,17,3,97,4.42
nymph,0,2,13,31,33,18,3,97,4.40
scare,0,2,14,31,31,19,4,96,4.39
snout,0,2,9,26,32,24,8,92,4.39
comma,0,2,14,32,32,17,3,97,4.36
heist,0,3,13,29,32,19,4,96,4.35
trash,0,2,12,27,30,22,7,93,4.30
natal,0,3,16,31,30,16,3,97,4.24
stove,0,3,17,30,28,17,4,96,4.19
found,1,2,18,44,26,9,1,99,4.19
purge,0,2,19,36,27,13,2,98,4.18
ample,0,3,19,40,28,9,1,99,4.17
royal,0,3,20,33,27,14,2,98,4.17
tease,0,5,19,33,28,13,2,98,4.17
lowly,0,5,16,24,27,21,6,94,4.15
renew,0,5,21,32,26,14,3,97,4.15
oxide,0,5,20,34,27,12,2,98,4.13
their,0,4,20,33,27,13,2,98,4.13
trope,1,4,19,27,26,18,5,95,4.12
chest,1,4,22,35,26,11,2,98,4.11
saute,1,5,18,30,26,16,3,97,4.11
flair,0,4,20,35,27,11,2,98,4.09
shame,0,6,24,35,24,10,1,99,4.04
smelt,1,4,23,36,24,10,1,99,4.02
inert,1,6,25,34,23,10,1,99,3.99
chunk,1,5,24,36,23,9,1,99,3.96
askew,0,7,27,34,22,9,1,99,3.95
zesty,0,6,26,36,22,8,1,99,3.92
cheek,1,11,22,25,21,15,5,95,3.84
mince,1,4,29,42,18,5,1,99,3.84
focus,1,7,29,35,20,7,1,99,3.84
epoxy,0,5,29,36,20,7,1,99,3.83
stair,1,12,23,26,21,13,4,96,3.81
shall,1,6,17,22,20,21,14,86,3.78
foyer,1,8,30,36,18,6,1,99,3.77
allow,1,8,31,34,19,6,1,99,3.77
squad,1,10,31,34,18,6,1,99,3.76
cater,1,16,32,30,16,6,1,99,3.65
shown,1,13,32,31,16,6,1,99,3.63
movie,1,7,19,22,19,18,15,85,3.63
depot,1,14,35,31,14,5,1,99,3.58
today,1,6,14,18,17,24,20,80,3.56
fewer,1,16,33,28,15,6,1,99,3.55
slosh,2,14,36,30,13,4,0,100,3.47
cargo,0,2,10,19,19,23,26,74,3.43
larva,2,19,34,27,13,4,1,99,3.39
olive,2,19,39,28,10,3,0,100,3.37
black,2,21,36,26,11,4,1,99,3.35
